ZoMo-Programm;Sampling year;Microorganism;Sample type;Superordinate sample origin;Sample origin;Sampling stage;Matrix group;Matrix;Matrix_detail_en;Sampling reason;Number of samples (N), with quantitative analysis;Number of positive samples above the limit of quantification of 10 cfu/g;Proportion (in %) of positive samples above the limit of quantification of 10 cfu/g;Number of positive samples > 100 cfu/g;Proportion (in %) of positive samples > 100 cfu/g;Number of positive samples > 1.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Number of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Proportion (in %) of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Number of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Proportion (in %) of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Cfu/g of positive samples - Minimum;Cfu/g of positive samples - Median;Cfu/g of positive samples - Mean;Cfu/g of positive samples - Maximum
EH17;2017;Listeria monocytogenes;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Raw sausages, spreadable;überwiegend aus Schweinefleisch;Zoonosen-Monitoring;378;14;3.7;2;0.5;;;;;;;;;;;;;;;;;;580
EH10;2018;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;383;21;5.5;;;;;;;;;;;;;;;;;10;20;;3010
EH14;2018;Listeria monocytogenes;Food;Poultry (food samples);Fattening poultry;Retail;Meat and meat products;Raw sausages, spreadable;überwiegend aus Hähnchen- und Putenfleisch;Zoonosen-Monitoring;385;0;;;;;;;;;;;;;;;;;;;;;
EH14;2019;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;420;14;3.3;;;;;11;2.6;;;3;0.7;;;;;;;10;10;;600
EH10;2020;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;436;10;2.3;;;;;6;1.4;;;4;0.9;;;;;;;10;42.5;;200
EH10;2020;Listeria monocytogenes;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;307;2;0.7;1;0.3;;;;;;;;;;;;;;;;;;500
EH12;2020;Listeria monocytogenes;Food;Ruminants (animal/food samples);Ruminants for milk production;Retail;Milk and dairy products;Raw milk cheese;Weichkäse;Zoonosen-Monitoring;325;0;;;;;;;;;;;;;;;;;;;;;
EH2;2021;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;466;13;2.8;;;;;12;2.6;;;1;0.2;;;;;;;10;25;;110
EH42;2021;Listeria monocytogenes;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Minced meat;gekühlt;Zoonosen-Monitoring;376;3;0.8;;;;;;;;;;;;;;;;;;;;10
EH52;2021;Listeria monocytogenes;Food;Beef (animal/food samples);Cattle (bovine animals);Retail;Meat and meat products;Minced meat;gekühlt;Zoonosen-Monitoring;408;5;1.2;;;;;;;;;;;;;;;;;;;;100
EH2;2022;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;477;10;2.1;;;;;10;2.1;;;;;;;;;;;10;10;;100
HA22;2022;Listeria monocytogenes;Food;Poultry (food samples);Fattening poultry;Manufacturer and packer;Meat and meat products;Ready-to-eat cooked sausage products;Aufschnitt;Zoonosen-Monitoring;116;0;0;;;;;;;;;;;;;;;;;;;;
EH44;2023;Listeria monocytogenes;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Minced meat, seasoned, to be eaten raw;;Zoonosen-Monitoring;314;2;0.6;;;;;;;;;;;;;;;;;30;;;40
HA44;2023;Listeria monocytogenes;Food;Pig (animal/food samples);Fattening pig;Manufacturer and packer;Meat and meat products;Cooked sausage products and cooked cured products;verzehrfertig, aufgeschnitten;Zoonosen-Monitoring;309;0;;;;;;;;;;;;;;;;;;;;;
ZB4;2023;Listeria monocytogenes;Food;Pig (animal/food samples);Fattening pig;Cutting plant;Meat and meat products;Fresh meat;gekühlt, ohne Knochen;Zoonosen-Monitoring;324;3;0.9;;;;;;;;;;;;;;;;;10;;;95
EH13;2015;Koagulase positiven Staphylokokken;Food;Fish/seafood (animal/food samples);Crustaceans;Retail;Seafood and products thereof;Shrimps;roh;Zoonosen-Monitoring;298;11;3.7;;;1;0.3;;;;;;;;;;;;;;;;1300
EH81;2023;Listeria monocytogenes;Food;Fish/seafood (animal/food samples);Salmonidae (salmon and trout fish);Retail;Fish and fish products;Smoked salmon;geschnitten, kaltgeräuchert;Zoonosen-Monitoring;354;2;0.6;;;;;;;;;;;;;;;;;10;;;170
